auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
17,22498031695,14312829036,302,129,096-17333,001Э,001Э,64,146,0,192.168.219.184,634536,2021-12-24T16:18:00,2021-12-31T11:13:00,096-17333,11880,440,001Э,"2021-12-28T11:13:00 1500
2021-12-29T11:13:00 1789
2021-12-30T11:13:00 1931
2021-12-31T11:13:00 2428
2021-12-25T11:13:00 1414
2021-12-26T11:13:00 1244
2021-12-27T11:13:00 1574
",ВЛАДИВОСТОК,МОСКВА-П-ЯР,2743,1,2021-12-28T13:32:59,001Э,1,SPECIAL,0,,0,53,16,0,2.4.1,17,1,1,1,1,1,vniias40,1.4.10,1.4.10,0,0,0,0,0,423,61,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,989И,989И,,,,,634890,2021-12-24T18:15:00,2022-01-02T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,052-16338,147Е,147Е,,,,,634698,2021-12-24T22:34:00,2021-12-27T19:26:00,,,1,,,"НИЖНЕВАРТ I","АСТРАХАНЬ I",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,017-16000,062М,062М,,,,,635008,2021-12-24T23:45:00,2021-12-31T00:07:00,,,1,,,МОСКВА-П-ЯР,ВЛАДИВОСТОК,"Incarnet 584",,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
7,502772560,236095699,89,30,096-17051,002Э,002Э,69,36,0,192.168.219.183,635085,2021-12-25T00:35:00,2021-12-31T23:03:00,096-17051,14391,134,002Э,"2021-12-30T23:03:00 2323
2021-12-31T23:03:00 2539
2022-01-01T23:03:00 2241
2021-12-26T23:03:00 1446
2021-12-27T23:03:00 1610
2021-12-28T23:03:00 1761
2021-12-29T23:03:00 2471
",МОСКВА-П-ЯР,ВЛАДИВОСТОК,"Incarnet 2701",1,2021-12-26T18:53:55,002Э,1,SPECIAL,0,,0,14,18,0,2.4.1,12,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,550,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,142С,142С,,,,,635538,2021-12-25T02:10:00,2021-12-28T05:20:00,,,1,,,СИМФЕРОПОЛЬ,"ПЕРМЬ II",,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,990Ч,990Ч,,,,,635418,2021-12-25T02:55:00,2022-01-03T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051-13675,376Ы,376Ы,,,,,635173,2021-12-25T04:08:00,2021-12-27T17:37:00,,,1,,,КРАСНОЯРСК,НЕРЮНГРИ-ПАС,,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
,,,,,000-00000,984А,984А,,,,,635610,2021-12-25T06:00:00,2022-01-03T00:54:00,,,1,,,МОСКВА-П-ЯР,"ХАБАРОВСК I",,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,081-16006,380У,380У,,,,,635392,2021-12-25T07:45:00,2021-12-27T16:39:00,,,1,,,ОРЕНБУРГ,"НОВ УРЕНГОЙ",,,,,,BRANDED,,,,,,,,,,,,,,vniias40,,,,,,,,,,,,,,,,
